# -------------------------------------------------------------------
# Small table used for variable name conversion/renaming when loading
# GFS deterministic forecasts from NetCDF files.
# -------------------------------------------------------------------
shortName;                    newName
TCDC_highcloudlayer;          hcc
TCDC_lowcloudlayer;           lcc 
TCDC_middlecloudlayer;        mcc
TCDC_convectivecloudlayer;    ccc
TCDC_entireatmosphere;        tcc
PRES_surface;                 psfc
PRMSL_meansealevel;           pmsl

